rating,reviews_count,cuisine_type,price,is_sponsored
"4,3",384,"Американская, Бар",$$ - $$$,False
"4,3",374,"Японская, Суши",$$ - $$$,False
"4,5",27,"Японская, Азиатская",$$ - $$$,True
N/A,0,"Азиатская, Тайская",,True
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,0",776,"Американская, Ирландская",$$ - $$$,False
"4,0",452,"Американская, Ирландская",$$ - $$$,False
"4,1",143,Американская,$$ - $$$,False
"4,1",801,Американская,$$ - $$$,False
"4,4",22,"Итальянская, Французская",$$$$,False
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,0",373,"Азиатская, Вьетнамская",$$$$,False
"4,1",1085,"Итальянская, Пицца",$$ - $$$,False
"3,8",1236,"Стейк-хаус, Морепродукты",$$$$,False
"4,4",286,"Латиноамериканская, Морепродукты",$$ - $$$,False
"4,3",682,Азиатская,$$ - $$$,False
"4,7",16,Винный бар,$$ - $$$,False
"4,4",419,"Бельгийская, Фастфуд",$,False
"4,0",585,Итальянская,$$ - $$$,False
"4,4",340,"Стейк-хаус, Морепродукты",$$$$,False
"4,2",849,"Итальянская, Пицца",$$ - $$$,False
"4,5",27,"Японская, Азиатская",$$ - $$$,True
"4,6",59,"Японская, Азиатская",$$ - $$$,False
"4,3",344,"Американская, Бар",$$ - $$$,False
"4,2",493,"Американская, Закусочная",$,False
"4,3",101,"Бары и клубы, Американская",$$ - $$$,False
"4,2",392,"Итальянская, Стейк-хаус",$$$$,False
"4,2",161,Американская,$$ - $$$,False
"4,5",419,"Международная, Азиатская",$$$$,False
"4,2",197,"Бары и клубы, Итальянская",$$ - $$$,False
"4,4",352,"Американская, Кафе",$$ - $$$,False
"3,7",1719,"Американская, Европейская",$$$$,False
"4,3",229,"Китайская, Азиатская",$$ - $$$,False
"4,4",50,"Итальянская, Пицца",$$ - $$$,False
"4,2",531,Американская,$$ - $$$,False
